state_code,area_code,nonfarm_size,info_sector_prop
22,00000,1920.2,1.208207478387668
22,12940,411,1.4355231143552312
22,29180,200.9,0.8959681433549029
22,35380,556.2,1.7080186983099603
22,43340,175.4,0.9692132269099201
23,00000,638.7,1.2368874275872865
23,70750,68,1.0294117647058822
23,74650,49.5,0.6060606060606061
23,76750,212.5,1.5529411764705883
24,00000,2708.8,1.3068517424689898
24,12580,1394.4,1.197647733792312
24,25180,103.9,1.6361886429258903
24,43524,590.8,2.1157752200406232
24,92581,372.9,1.3676588897827837
24,94781,407.7,0.8339465293107677
25,00000,3675.7,2.644394265037952
25,70900,104.1,1.1527377521613833
25,71650,2776.2,3.022116562207334
25,71654,1896.9,3.5320786546470555
25,72104,79.1,0.7585335018963338
25,73104,165.5,3.625377643504532
25,73604,66.7,0.4497751124437781
